id,name,shortName,tla
314,Ecija Balompie,,ÉCI
322,Hull City AFC,Hull City,HUL
325,Portsmouth FC,Portsmouth,POR
328,Burnley FC,Burnley,BUR
332,Birmingham City FC,Birmingham,BIR
336,Blackpool FC,Blackpool,BLA
338,Leicester City FC,Leicester City,LEI
340,Southampton FC,Southampton,SOU
341,Leeds United FC,Leeds United,LEE
342,Derby County FC,Derby County,DER
343,Middlesbrough FC,Middlesbrough,MID
345,Sheffield Wednesday FC,Sheffield Wed,SHE
346,Watford FC,Watford,WAT
347,AFC Wimbledon,AFC Wimbledon,WMB
348,Charlton Athletic FC,Charlton,CHA
349,Ipswich Town FC,Ipswich Town,IPS
351,Nottingham Forest FC,Nottingham,NOT
354,Crystal Palace FC,Crystal Palace,CRY
355,Reading FC,Reading,REA
356,Sheffield United FC,Sheffield Utd,SHE
357,Barnsley FC,Barnsley,BAR
361,Rochdale AFC,Rochdale,ROC
363,Chesterfield FC,Chesterfield,CHE
365,Colchester United FC,Colchester Utd,COL
366,Torquay United FC,Torquay,TOR
369,Walsall FC,Walsall,WAL
370,Gillingham FC,Gillingham,GIL
371,Hartlepool,,
372,Hereford FC,Hereford,HER
376,Northampton Town FC,Northampton,NOR
384,Millwall FC,Millwall,MIL
385,Rotherham United FC,Rotherham Utd,ROT
387,Bristol City FC,Bristol City,BRI
389,Luton Town FC,Luton Town,LUT
391,Notts County FC,Notts County,NOT
393,Port Vale FC,Port Vale,PVL
394,Huddersfield Town AFC,Huddersfield,HUD
396,Stockport County FC,Stockport,STO
397,Brighton & Hove Albion FC,Brighton Hove,BHA
399,Leyton Orient FC,Leyton Orient,LEY
400,Bristol Rovers FC,Bristol Rovers,BRI
402,Brentford FC,Brentford,BRE
404,Wrexham AFC,Wrexham,WRE
409,Milton Keynes Dons FC,Milton Keynes,MKD
411,Cheltenham Town FC,Cheltenham T,CHE
431,SSC Bari,Bari,BAR
436,AS Livorno Calcio,Livorno,LIV
445,Empoli FC,Empoli,EMP
446,Ascoli Calcio 1898 FC,Ascoli,ASC
447,ACR Messina,,MES
448,ACD Treviso,Treviso,ACD
449,Brescia Calcio,Brescia,BRS
450,Hellas Verona FC,Verona,HVE
451,L.R. Vicenza Virtus,Vicenza Virtus,VIC
452,AC Perugia Calcio,Perugia,PER
453,Piacenza Calcio 1919,Piacenza,PIA
454,Venezia FC,Venezia FC,VEN
455,US Salernitana 1919,Salernitana,SAL
457,US Cremonese,Cremonese,CRE
458,Padova Calcio,Padova,PAD
460,Modena FC 2018,Modena,MOD
461,Ancona 1905,,ANC
464,UC AlbinoLeffe,AlbinoLeffe,ALB
465,Gallipoli,,
466,AS Cittadella,Cittadella,CIT
470,Frosinone Calcio,Frosinone,FRO
471,US Sassuolo Calcio,Sassuolo,SAS
472,FC Crotone,Crotone,CRO
479,Ternana Calcio,Ternana,TRN
486,Calcio Avellino SSD,Avellino,AVE
487,AC Pisa 1909,AC Pisa,PIS
488,Spezia Calcio,Spezia Calcio,SPE
489,SS Arezzo,Arezzo,ARE
490,US Catanzaro,Catanzaro,CAT
492,Portogruaro,,
496,Rio Ave FC,Rio Ave,RIO
498,Sporting Clube de Portugal,Sporting CP,SPO
499,SC Olhanense,Olhanense,OLH
501,Nacional Funchal,Funchal,NFU
503,FC Porto,Porto,FCP
507,FC Pacos de Ferreira,Pacos Ferreira,PAÇ
508,UD Leiria,Leiria,LEI
510,AC Ajaccio,AC Ajaccio,ACA
511,Toulouse FC,Toulouse,TOU
512,Stade Brestois 29,Brest,BRE
514,SM Caen,SM Caen,SMC
515,Valenciennes FC,Valenciennes,VFC
516,Olympique de Marseille,Marseille,MAR
517,FC Sochaux-Montbeliard,Sochaux,FCS
518,Montpellier HSC,Montpellier,MON
519,AJ Auxerre,Auxerre,AJA
520,AS Nancy-Lorraine,Nancy,ASN
521,Lille OSC,Lille,LIL
522,OGC Nice,Nice,NIC
523,Olympique Lyonnais,Olympique Lyon,LYO
524,Paris Saint-Germain FC,PSG,PSG
525,FC Lorient,Lorient,FCL
526,FC Girondins de Bordeaux,Bordeaux,BOR
527,AS Saint-Etienne,Saint-Etienne,ASS
528,Dijon Football Cote d'Or,Dijon FCO,DFC
529,Stade Rennais FC 1901,Stade Rennais,REN
530,Amiens SC,Amiens SC,AMI
531,ES Troyes AC,Troyes,ETR
532,Angers SCO,Angers SCO,ANG
533,Le Havre AC,Le Havre,HAC
534,AC Arles-Avignon,Arles,AC 
535,Le Mans FC,Le Mans,LMF
536,SC Bastia,SC Bastia,SCB
537,FC Istres,Istres,IST
538,En Avant Guingamp,EA Guingamp,EAG
539,La Berrichonne de Chateauroux,Chateauroux,LBC
540,Stade Lavallois Mayenne FC,Stade Laval,LAV
541,Clermont Foot 63,Clermont Foot,CLF
543,FC Nantes,Nantes,NAN
544,Tours FC,Tours FC,TFC
545,FC Metz,FC Metz,FCM
546,Racing Club de Lens,RC Lens,RCL
547,Stade de Reims,Stade de Reims,SDR
548,AS Monaco FC,Monaco,ASM
550,CD Alcoyano,Alcoyano,ALC
551,CD Guadalajara,Guadalajara,GUA
553,BV Borussia 09 Dortmund II,Dortmund II,BVB
554,Hallescher FC,Hallescher FC,HFC
555,GFC Ajaccio,GFC Ajaccio,GAZ
556,Nimes Olympique,Nimes Ol.,NÎM
557,Chamois Niortais FC,Niort,NIO
558,RC Celta de Vigo,Celta,CEL
559,Sevilla FC,Sevilla FC,SEV
560,RC Deportivo La Coruna,Deportivo,DEP
563,West Ham United FC,West Ham,WHU
565,FC Gueugnon,Gueugnon,FCG
567,Red Star FC,Red Star,RST
569,Cannes,,
573,US Creteil-Lusitanos,Creteil,USC
576,RC Strasbourg Alsace,Strasbourg,RC 
577,FC Martigues,Martigues,FCM
