id,name,code,type,area_id
2013,Campeonato Brasileiro Série A,BSA,LEAGUE,2032
2016,Championship,ELC,LEAGUE,2072
2021,Premier League,PL,LEAGUE,2072
2001,UEFA Champions League,CL,CUP,2077
2018,European Championship,EC,CUP,2077
2015,Ligue 1,FL1,LEAGUE,2081
2002,Bundesliga,BL1,LEAGUE,2088
2019,Serie A,SA,LEAGUE,2114
2003,Eredivisie,DED,LEAGUE,2163
2017,Primeira Liga,PPL,LEAGUE,2187
2152,Copa Libertadores,CLI,CUP,2220
2014,Primera Division,PD,LEAGUE,2224
2000,FIFA World Cup,WC,CUP,2267
