id,name,countryCode,parentAreaId
2203,Saudi Arabia,KSA,2014
2204,Scotland,SCO,2077
2205,Senegal,SEN,2001
2206,Serbia,SER,2077
2207,Serbia and Montenegro,SCG,2077
2208,Seychelles,SEY,2001
2209,Shetland,SHE,2077
2210,Sierra Leone,SLE,2001
2211,Singapore,SIN,2014
2212,Sint Eustatius,SEU,2159
2213,Sint Maarten,SMA,2159
2214,Slovakia,SVK,2077
2215,Slovenia,SVN,2077
2216,Solomon Islands,SLB,2175
2217,Somalia,SOM,2001
2218,Somaliland,SOL,2001
2219,South Africa,RSA,2001
2220,South America,SAM,2267
2221,South Sudan,SSD,2001
2222,Southern Cameroon,SCM,2267
2223,Soviet Union,SOV,2077
2224,Spain,ESP,2077
2225,Sri Lanka,SRI,2014
2226,St. Helena,STH,2001
2227,St. Kitts and Nevis,SKN,2159
2228,St. Lucia,STL,2159
2229,St. Vincent and the Grenadines,SVG,2159
2230,Sudan,SUD,2001
2231,Suriname,SUR,2159
2232,Swaziland,SWZ,2001
2233,Sweden,SWE,2077
2234,Switzerland,CHE,2077
2235,Syria,SYR,2014
2236,Tahiti,TAH,2175
2237,Tajikistan,TJK,2014
2238,Tamil Eelam,TEL,2267
2239,Tanzania,TAN,2001
2240,Thailand,THA,2014
2241,Timor-Leste,EAT,2014
2242,Togo,TOG,2001
2243,Tonga,TON,2175
2244,TR Northern Cyprus,NCY,2077
2245,Trinidad and Tobago,TTO,2159
2246,Tunisia,TUN,2001
2247,Turkey,TUR,2077
2248,Turkmenistan,TKM,2014
2249,Turks and Caicos Islands,TCA,2159
2250,Tuvalu,TVL,2175
2251,Two Sicilies,TSI,2267
2252,Uganda,UGA,2001
2253,Ukraine,UKR,2077
2254,United Arab Emirates,UAE,2014
2255,United Kingdom,UK,2077
2256,United States,USA,2159
2257,Uruguay,URY,2220
2258,US Virgin Islands,USV,2159
2259,Uzbekistan,UZB,2014
2260,Vanuatu,VUT,2175
2261,Vatican City,VAC,2077
2262,Venezuela,VEN,2220
2263,Vietnam,VIE,2014
2264,Wales,WAL,2077
2265,West Indies,WIN,2267
2266,Western Sahara,WSR,2001
2267,World,INT,
2268,Yemen,YEM,2014
2269,Yugoslavia,YUG,2077
2270,Zambia,ZAM,2001
2271,Zanzibar,ZAN,2001
2272,Zimbabwe,ZIM,2001
